Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Components,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Parent,Parent summary,Status Category,Status Category Changed
Create user interface layout,ESA-43,10042,Sub-task,Done,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,Done,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 7:12 PM,24/Mar/25 1:29 AM,,24/Mar/25 1:29 AM,Version 1,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00093:,,,ESA Sprint 1,,,,,,,,,,,3_*:*_1_*:*_15837_*|*_10003_*:*_1_*:*_109005690_*|*_10005_*:*_1_*:*_0,,10007,"As a customer, I want to check out the items from my shopping cart, so that I can pay for my selected items.",Done,24/Mar/25 1:29 AM
Write acceptance tests and review,ESA-42,10041,Sub-task,Done,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,Done,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 7:12 PM,24/Mar/25 1:28 AM,,24/Mar/25 1:28 AM,Version 1,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008v:,,,ESA Sprint 1,,,,,,,,,,,3_*:*_1_*:*_34687_*|*_10003_*:*_1_*:*_108934509_*|*_10005_*:*_1_*:*_0,,10007,"As a customer, I want to check out the items from my shopping cart, so that I can pay for my selected items.",Done,24/Mar/25 1:28 AM
Write technical implementation strategy,ESA-41,10040,Sub-task,Done,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,Done,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 7:11 PM,24/Mar/25 1:28 AM,,24/Mar/25 1:28 AM,Version 1,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,ESA Sprint 1,,,,,,,,,,,3_*:*_1_*:*_34655_*|*_10003_*:*_1_*:*_108957219_*|*_10005_*:*_1_*:*_0,,10007,"As a customer, I want to check out the items from my shopping cart, so that I can pay for my selected items.",Done,24/Mar/25 1:28 AM
Create user interface mockup,ESA-40,10039,Sub-task,Done,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,Done,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 7:11 PM,24/Mar/25 1:28 AM,,24/Mar/25 1:28 AM,Version 1,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008f:,,,ESA Sprint 1,,,,,,,,,,,3_*:*_1_*:*_36413_*|*_10003_*:*_1_*:*_108980672_*|*_10005_*:*_1_*:*_0,,10007,"As a customer, I want to check out the items from my shopping cart, so that I can pay for my selected items.",Done,24/Mar/25 1:28 AM
"BUG: Incorrect amount is added up, during checkout, for shopping carts containing more than 5 items",ESA-39,10038,Bug,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:20 PM,24/Mar/25 12:47 AM,,,Version 1,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-1,Shopping Cart,,,,,,,,,,0|i0001q:,,,ESA Sprint 1,,,,,,,,,,,,,10000,Shopping Cart,To Do,22/Mar/25 6:20 PM
BUG: Windows do not resize when the app begins loading,ESA-38,10037,Bug,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:20 PM,23/Mar/25 2:26 PM,,,Version 1,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-4,Shopping Interface,,,,,,,,,,0|i00031:,,,,,,,,,,,,,,,,10003,Shopping Interface,To Do,22/Mar/25 6:20 PM
"BUG: Search results do not appear, when using the Android mobile app",ESA-37,10036,Bug,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:20 PM,24/Mar/25 12:47 AM,,,Version 1,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-5,Product Search,,,,,,,,,,0|i0001p:,,,ESA Sprint 1,,,,,,,,,,,,,10004,Product Search,To Do,22/Mar/25 6:20 PM
BUG: Error message when user tries to check out with the shopping cart,ESA-36,10035,Bug,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:19 PM,24/Mar/25 12:47 AM,,,Version 1,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-1,Shopping Cart,,,,,,,,,,0|i0001n:,,,ESA Sprint 1,,,,,,,,,,,,,10000,Shopping Cart,To Do,22/Mar/25 6:19 PM
"As a customer, i want to see the Available Shopping hours for each shopping store location, so I know when the store is open.",ESA-35,10034,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:18 PM,23/Mar/25 2:11 PM,02/Apr/25 7:45 PM,,Version 3,,,0,Store-Info,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-7,Shopping Location,,,,,,,,,,0|i0007b:,,,,,,,,,,,,,,,,10006,Shopping Location,To Do,22/Mar/25 6:18 PM
"As a customer, I want to see the address and phone number of all shopping stores closest to me, so I can call them when needed.",ESA-34,10033,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:18 PM,23/Mar/25 2:11 PM,22/Mar/25 7:55 PM,,Version 3,,,0,Store-Info,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-7,Shopping Location,,,,,,,,,,0|i00073:,,,,,,,,,,,,,,,,10006,Shopping Location,To Do,22/Mar/25 6:18 PM
"As a customer, i want to see which shopping store is near to my location, so I can drive to the physical location.",ESA-33,10032,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:17 PM,23/Mar/25 2:11 PM,22/Mar/25 7:54 PM,,Version 3,,,0,Store-Info,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-7,Shopping Location,,,,,,,,,,0|i0006v:,,,,,,,,,,,,,,,,10006,Shopping Location,To Do,22/Mar/25 6:17 PM
"As a customer, I want to receive Refer a Friend Bonus Discounts, so that I can share products with my friends",ESA-32,10031,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:17 PM,23/Mar/25 2:11 PM,22/Mar/25 7:54 PM,,Version 3,,,0,User-Admin,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-6,Loyalties Program,,,,,,,,,,0|i0006n:,,,,,,,,,,,,,,,,10005,Loyalties Program,To Do,22/Mar/25 6:17 PM
"As a customer, i want to receive an anniversary discount so that I'm rewarded for my one-year anniversaries with the company.",ESA-31,10030,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:16 PM,23/Mar/25 2:11 PM,22/Mar/25 7:54 PM,,Version 3,,,0,User-Admin,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-6,Loyalties Program,,,,,,,,,,0|i0006f:,,,,,,,,,,,,,,,,10005,Loyalties Program,To Do,22/Mar/25 6:16 PM
"As a customer, I want to get discount coupons when I purchase more than a certain amount, so I can be rewarded for my loyalty to the company.",ESA-30,10029,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:16 PM,23/Mar/25 2:11 PM,22/Mar/25 7:53 PM,,Version 3,,,0,User-Admin,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-6,Loyalties Program,,,,,,,,,,0|i00067:,,,,,,,,,,,,,,,,10005,Loyalties Program,To Do,22/Mar/25 6:16 PM
"As a customer, I want the app to show personalized results of products I'm interested in.",ESA-29,10028,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:14 PM,23/Mar/25 2:07 PM,22/Mar/25 7:50 PM,,Version 2.0,,,0,Shopping,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-5,Product Search,,,,,,,,,,0|i0005z:,,,,,,,,,,,,,,,,10004,Product Search,To Do,22/Mar/25 6:14 PM
"As a customer, I want the app to create filtered results based on my search history.",ESA-28,10027,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:14 PM,23/Mar/25 2:07 PM,22/Mar/25 7:50 PM,,Version 2.0,,,0,Shopping,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-5,Product Search,,,,,,,,,,0|i0005r:,,,,,,,,,,,,,,,,10004,Product Search,To Do,22/Mar/25 6:14 PM
"As a customer, I want the app to run existing product queries, so I know the price of similar products.",ESA-27,10026,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:14 PM,23/Mar/25 2:07 PM,22/Mar/25 7:50 PM,,Version 2.0,,,0,Shopping,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-5,Product Search,,,,,,,,,,0|i0005j:,,,,,,,,,,,,,,,,10004,Product Search,To Do,22/Mar/25 6:14 PM
"As a customer, I want to filter my search, based on category, brand, and price.",ESA-26,10025,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:14 PM,23/Mar/25 2:07 PM,22/Mar/25 7:50 PM,,Version 2.0,,,0,Shopping,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-5,Product Search,,,,,,,,,,0|i0005b:,,,,,,,,,,,,,,,,10004,Product Search,To Do,22/Mar/25 6:14 PM
"As a customer, I want to search for items available in the store, so I can find the items I want to buy.",ESA-25,10024,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:14 PM,23/Mar/25 2:07 PM,22/Mar/25 7:50 PM,,Version 2.0,,,0,Shopping,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-5,Product Search,,,,,,,,,,0|i00053:,,,,,,,,,,,,,,,,10004,Product Search,To Do,22/Mar/25 6:14 PM
"As a customer, I want to view which physical store location has the item I want, so I can purchase it in-person.",ESA-24,10023,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:13 PM,23/Mar/25 2:22 PM,22/Mar/25 7:50 PM,,Version 1,,,0,Shopping,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-4,Shopping Interface,,,,,,,,,,0|i0002z:,,,,,,,,,,,,,,,,10003,Shopping Interface,To Do,22/Mar/25 6:13 PM
"As a customer, i want to view the sales price of similar items in the catalog, so I can decide what to buy.",ESA-23,10022,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:12 PM,24/Mar/25 12:47 AM,24/Mar/25 12:39 AM,,Version 1,,,0,Shopping,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-4,Shopping Interface,,,,,,,,,,0|i0001q:i,,,ESA Sprint 1,,5.0,,,,,,,,,,,10003,Shopping Interface,To Do,22/Mar/25 6:12 PM
"As a customer, I want to choose the size and quantities for the items I want, so that I can purchase what I need.",ESA-22,10021,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:12 PM,24/Mar/25 12:47 AM,24/Mar/25 12:44 AM,,Version 1,,,0,Shopping,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-4,Shopping Interface,,,,,,,,,,0|i0001t:,,,ESA Sprint 1,,8.0,,,,,,,,,,,10003,Shopping Interface,To Do,22/Mar/25 6:12 PM
"As a customer, I want to view products available in the store, so that I can decide which items to buy.",ESA-21,10020,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:12 PM,24/Mar/25 12:47 AM,24/Mar/25 1:24 AM,,Version 1,,,0,Shopping,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-4,Shopping Interface,,,,,,,,,,0|i0001f:,,,ESA Sprint 1,,5.0,,,,,,,,,,,10003,Shopping Interface,To Do,22/Mar/25 6:12 PM
"As a customer, i want to be able to change my password, so I can login with new credentials.",ESA-20,10019,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:11 PM,23/Mar/25 2:07 PM,22/Mar/25 7:52 PM,,Version 2.0,,,0,User-Admin,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-3,User Account,,,,,,,,,,0|i0003z:,,,,,,,,,,,,,,,,10002,User Account,To Do,22/Mar/25 6:11 PM
"As a customer, I want to view my wish list, so I can share what I want with others.",ESA-19,10018,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:11 PM,23/Mar/25 2:07 PM,22/Mar/25 7:52 PM,,Version 2.0,,,0,User-Admin,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-3,User Account,,,,,,,,,,0|i0003r:,,,,,,,,,,,,,,,,10002,User Account,To Do,22/Mar/25 6:11 PM
"As a customer, I want to review my account history, so I can see what I purchased in the past.",ESA-18,10017,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:11 PM,23/Mar/25 2:07 PM,22/Mar/25 7:52 PM,,Version 2.0,,,0,User-Admin,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-3,User Account,,,,,,,,,,0|i0003j:,,,,,,,,,,,,,,,,10002,User Account,To Do,22/Mar/25 6:11 PM
"As a customer, I want to add my payment information, so that I can process payments faster.",ESA-17,10016,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:11 PM,23/Mar/25 2:07 PM,22/Mar/25 7:52 PM,,Version 2.0,,,0,User-Admin,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-3,User Account,,,,,,,,,,0|i0003b:,,,,,,,,,,,,,,,,10002,User Account,To Do,22/Mar/25 6:11 PM
"As a customer, I want to be able to log in to my account, so that I can manage my account",ESA-16,10015,Story,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 6:10 PM,23/Mar/25 2:07 PM,22/Mar/25 7:51 PM,,Version 2.0,,,0,User-Admin,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,ESA-3,User Account,,,,,,,,,,0|i00033:,,,,,,,,,,,,,,,,10002,User Account,To Do,22/Mar/25 6:10 PM
